timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1590277547.6176,BTCUSDT,Buy,0.006,9173.0,ZeroMinusTick,5f9f5190-42c1-5ed3-b8c7-9bf7fd60edc5,5503800000.0,0.006,55.038
1590277540.0145,BTCUSDT,Buy,0.005,9173.0,PlusTick,86909640-6f44-5568-b985-38d0e947f544,4586500000.0,0.005,45.865
1590277540.0145,BTCUSDT,Buy,0.001,9169.0,MinusTick,e440d5a0-b53b-5dcb-b5d0-1aa4a3895b21,916900000.0,0.001,9.169
1590277540.0145,BTCUSDT,Buy,0.006,9173.0,ZeroMinusTick,03a6560f-132c-5d83-a115-1d435ecbbada,5503800000.0,0.006,55.038
1590277540.0145,BTCUSDT,Buy,0.005,9173.0,PlusTick,890a9997-74bc-5ef2-b7f0-8ff2f27bfa1b,4586500000.0,0.005,45.865
1590277540.0145,BTCUSDT,Buy,0.004,9168.0,MinusTick,d677e9ef-6e13-57ef-84c0-856256a2886b,3667199999.9999995,0.004,36.672
1590277540.0145,BTCUSDT,Buy,0.033,9173.0,ZeroMinusTick,c7b5d9ce-7e75-514c-9ddf-653b877b877e,30270900000.0,0.033,302.709
1590277540.0145,BTCUSDT,Buy,0.033,9173.0,PlusTick,18bf1b70-e4e8-51de-9245-5369e0db4c0a,30270900000.0,0.033,302.709
1590277540.0145,BTCUSDT,Buy,0.1,9170.0,PlusTick,bb32ab24-6353-536f-8d9b-e2ad7f12e730,91700000000.0,0.1,917.0
1590277540.0082,BTCUSDT,Buy,0.02,9167.5,ZeroMinusTick,b068c820-252d-586a-84c7-e3391cb59fbc,18335000000.0,0.02,183.35
1590277540.0082,BTCUSDT,Buy,0.001,9167.5,PlusTick,47eb8ea9-c493-56ff-8497-f6187247a949,916750000.0,0.001,9.1675
1590277533.6303,BTCUSDT,Buy,0.014,9162.0,ZeroMinusTick,903eb650-adca-5336-a17f-07310ebb795b,12826800000.0,0.014,128.268
1590277533.6303,BTCUSDT,Buy,0.028,9162.0,ZeroMinusTick,ab3d3ce4-a4cd-5ef4-87ad-3ead232132d4,25653600000.0,0.028,256.536
1590277533.6303,BTCUSDT,Buy,0.019,9162.0,ZeroMinusTick,021913cb-c88a-54ff-afae-6007426281ef,17407800000.0,0.019,174.078
1590277533.6303,BTCUSDT,Buy,0.015,9162.0,ZeroMinusTick,d80ad06a-912a-5214-95fc-e61a16d54815,13743000000.0,0.015,137.43
1590277533.6303,BTCUSDT,Buy,0.033,9162.0,ZeroMinusTick,da25ed6e-ef93-50c6-b807-ec9c8efaa57f,30234600000.0,0.033,302.346
1590277533.6303,BTCUSDT,Buy,0.003,9162.0,ZeroMinusTick,a38cd11d-2ceb-55f4-bd57-e87903964859,2748600000.0,0.003,27.486
1590277533.6303,BTCUSDT,Buy,0.005,9162.0,ZeroMinusTick,dc599321-c83c-5627-8c35-3a37a91cf84e,4581000000.0,0.005,45.81
1590277533.6303,BTCUSDT,Buy,0.042,9162.0,PlusTick,2c98e5ed-02b5-52a7-a64e-c4ae568c4be4,38480400000.0,0.042,384.804
1590277529.7216,BTCUSDT,Sell,0.989,9161.5,ZeroMinusTick,27bf3fc7-a036-58ae-8bf6-921cfe1b2280,906072350000.0,0.989,9060.7235
1590277524.3808,BTCUSDT,Sell,0.021,9161.5,ZeroMinusTick,8dd0f43b-a61e-5e6e-bbb5-f6566d74c569,19239150000.0,0.021,192.3915
1590277514.7127,BTCUSDT,Sell,0.013,9161.5,PlusTick,6e4ec5a1-a251-5183-a98c-29af2d69dab0,11909950000.0,0.013,119.0995
1590277503.3709,BTCUSDT,Sell,0.098,9161.0,ZeroMinusTick,176f5878-186d-521d-aeab-66b802ad6119,89777800000.0,0.098,897.778
1590277499.7036,BTCUSDT,Sell,0.001,9161.0,ZeroMinusTick,37bd848b-957b-579f-b2e5-43343394f22b,916100000.0,0.001,9.161
1590277485.5287,BTCUSDT,Buy,0.009,9161.0,ZeroMinusTick,a4cd1417-ed98-5fa9-819c-2e9ff427c751,8244900000.0,0.009,82.449
1590277485.5287,BTCUSDT,Buy,0.001,9161.0,PlusTick,8123195c-2438-5fdd-b148-60c9ccf15b28,916100000.0,0.001,9.161
1590277477.2844,BTCUSDT,Buy,0.01,9160.5,PlusTick,f828b70c-c25e-50ac-bcac-243047aeb70c,9160500000.0,0.01,91.605
1590277472.8818,BTCUSDT,Buy,0.472,9160.0,PlusTick,9c9254d4-c063-5d94-849c-6586853fa09c,432352000000.00006,0.472,4323.52
1590277472.8818,BTCUSDT,Buy,0.601,9159.5,ZeroMinusTick,77bb7d32-9aab-56d1-84e3-8fbdcae8e23d,550485950000.0,0.601,5504.8595
1590277472.8818,BTCUSDT,Buy,0.02,9159.5,PlusTick,490b5f25-0362-55e7-9d8d-561c6faaebbd,18319000000.0,0.02,183.19
1590277469.6851,BTCUSDT,Sell,0.738,9159.0,PlusTick,1e56a523-4429-5f4f-9384-0b71ec7709ed,675934200000.0,0.738,6759.342
1590277457.3297,BTCUSDT,Sell,0.12,9156.0,PlusTick,c15bd786-92e6-5be4-8eb5-dddf83cb311f,109872000000.0,0.12,1098.72
1590277419.3018,BTCUSDT,Buy,0.003,9155.0,PlusTick,f1dabea2-113a-5346-9cbf-13667505b773,2746500000.0,0.003,27.465
1590277415.6335,BTCUSDT,Buy,0.02,9153.5,PlusTick,d39edcba-6de9-5769-ba6b-3d62774d5ff3,18307000000.0,0.02,183.07
1590277412.5266,BTCUSDT,Sell,0.386,9153.0,ZeroMinusTick,46ed63f7-0b00-5def-bc56-b021a6ee1045,353305800000.0,0.386,3533.058
1590277407.6485,BTCUSDT,Sell,0.657,9153.0,MinusTick,42608b4d-911c-5e82-b842-81c41b01266f,601352100000.0,0.657,6013.521
1590277393.3373,BTCUSDT,Sell,0.001,9154.5,MinusTick,c7fc4c6f-4b19-51bb-93ec-9d9a900a58bd,915450000.0,0.001,9.1545
1590277392.3024,BTCUSDT,Sell,0.02,9155.5,MinusTick,341e4310-cbe2-5e4d-a5d5-4dc1f81db19b,18311000000.0,0.02,183.11
1590277389.8287,BTCUSDT,Sell,0.001,9158.0,MinusTick,72246c38-cb4d-57c2-be84-2f8a6b1ad41d,915800000.0,0.001,9.158
1590277388.3463,BTCUSDT,Sell,0.001,9160.0,MinusTick,3fd2261a-2e2b-5a54-9200-1dfbcda30608,916000000.0,0.001,9.16
1590277387.5914,BTCUSDT,Sell,1.12,9161.0,ZeroMinusTick,8b02c0e9-4ca5-5da3-9ef2-01ce6e73c004,1026032000000.0,1.12,10260.32
1590277387.5914,BTCUSDT,Sell,0.001,9161.0,MinusTick,1224ac3a-f010-5945-bf5a-a41e6d37c190,916100000.0,0.001,9.161
1590277385.373,BTCUSDT,Sell,0.004,9161.5,MinusTick,b5a1fab2-add7-5b3a-97f5-4ad4d90c403a,3664600000.0,0.004,36.646
1590277384.3649,BTCUSDT,Buy,0.696,9162.0,ZeroMinusTick,02e1ee59-7863-5e1e-8ef1-9f7a6daab9de,637675200000.0,0.696,6376.752
1590277378.9834,BTCUSDT,Buy,0.02,9162.0,ZeroMinusTick,964c4ef5-a4c3-5dcb-a8d5-f3b4fa8dc8a9,18324000000.0,0.02,183.24
1590277369.7217,BTCUSDT,Buy,0.25,9162.0,ZeroMinusTick,ba9efabe-3ea5-5aaa-b597-f2612855a962,229050000000.0,0.25,2290.5
1590277362.393,BTCUSDT,Buy,0.187,9162.0,ZeroMinusTick,02f1ff73-91cb-5827-88a1-068087ffb691,171329400000.0,0.187,1713.294
1590277357.3922,BTCUSDT,Buy,0.134,9162.0,PlusTick,ee850a95-12c3-5850-be64-cab2e7c2ffb4,122770800000.00002,0.134,1227.708
1590277329.3191,BTCUSDT,Buy,0.001,9157.5,ZeroMinusTick,63ec1250-1d09-5320-8b2c-53f3acfca215,915750000.0000001,0.001,9.1575
1590277329.3191,BTCUSDT,Buy,0.016,9157.5,ZeroMinusTick,4b0c4869-a5e4-5bea-a611-7f9e17cfdc9e,14652000000.000002,0.016,146.52
1590277326.5869,BTCUSDT,Buy,0.004,9157.5,PlusTick,5388f434-a694-59d5-b8d4-3e3115f7d442,3663000000.0000005,0.004,36.63
1590277315.3778,BTCUSDT,Buy,0.004,9156.5,ZeroMinusTick,0787dba3-08e0-5742-9eed-684758a62f15,3662600000.0,0.004,36.626
1590277310.3975,BTCUSDT,Buy,1.137,9156.5,PlusTick,a8f668e1-5f5e-5067-833c-ec554e80baf1,1041094050000.0001,1.137,10410.9405
1590277298.7853,BTCUSDT,Sell,0.003,9156.0,ZeroMinusTick,eacd84cc-7141-5d36-b0d1-033d026daeb2,2746800000.0,0.003,27.468
1590277298.7853,BTCUSDT,Sell,0.001,9156.0,MinusTick,cd8febef-6712-5483-9ae9-56da35e3dc1d,915600000.0,0.001,9.156
1590277295.6031,BTCUSDT,Buy,0.005,9156.5,ZeroMinusTick,cff1a098-d4bd-5ac6-9c84-39fd0608713e,4578250000.0,0.005,45.7825
1590277293.5861,BTCUSDT,Buy,0.005,9156.5,MinusTick,e8c71013-2cc0-59d6-a297-a2929c37ac3a,4578250000.0,0.005,45.7825
1590277292.4711,BTCUSDT,Sell,0.001,9157.0,ZeroMinusTick,d611b9af-5798-5d74-b3ab-16171465921a,915700000.0,0.001,9.157
1590277292.4711,BTCUSDT,Sell,0.001,9157.0,ZeroMinusTick,f277dd53-ba47-5814-aaf9-e21f86d49674,915700000.0,0.001,9.157
1590277292.4711,BTCUSDT,Sell,0.001,9157.0,PlusTick,34c09583-f140-57f8-8875-2260953a49cc,915700000.0,0.001,9.157
1590277290.842,BTCUSDT,Buy,2.298,9152.5,PlusTick,b3dbb4f0-9e9c-5bfa-8955-2ca2c13dcf33,2103244500000.0,2.298,21032.445
1590277269.9888,BTCUSDT,Sell,0.019,9152.0,ZeroMinusTick,d211e2cc-d160-546f-aa55-c77c985ae867,17388800000.0,0.019,173.888
1590277269.9888,BTCUSDT,Sell,0.015,9152.0,ZeroMinusTick,cbe26511-a941-53e2-9dd0-c3e64a18748c,13728000000.0,0.015,137.28
1590277269.9888,BTCUSDT,Sell,0.041,9152.0,ZeroMinusTick,0b3b6b66-c2dc-560d-8369-b323d9edfba8,37523200000.0,0.041,375.232
1590277269.9888,BTCUSDT,Sell,0.003,9152.0,ZeroMinusTick,b48e43e1-25ed-5315-99f7-38a4f05dea7c,2745600000.0,0.003,27.456
1590277269.9888,BTCUSDT,Sell,0.028,9152.0,ZeroMinusTick,04d1eb8c-c433-5ed9-8d55-cb4f93c5e7b8,25625599999.999996,0.028,256.256
1590277269.9888,BTCUSDT,Sell,0.144,9152.0,ZeroMinusTick,65134eb2-5fb1-5887-9cc5-6fd2eabf77cd,131788799999.99998,0.144,1317.888
1590277269.9772,BTCUSDT,Sell,0.001,9152.0,MinusTick,b4d0ea0b-e7b6-5508-b276-31a9e07fd349,915199999.9999999,0.001,9.152
1590277269.972,BTCUSDT,Sell,0.001,9152.5,ZeroMinusTick,2f0eae2f-ec73-5ce9-820c-4ff54669571b,915250000.0,0.001,9.1525
1590277269.972,BTCUSDT,Sell,0.001,9152.5,MinusTick,092320dd-ee4b-5133-b82f-a8a9eec12b0b,915250000.0,0.001,9.1525
1590277269.5542,BTCUSDT,Sell,0.001,9155.0,ZeroMinusTick,69cdd47d-f11d-5afd-b767-3f5ead62d995,915499999.9999999,0.001,9.155
1590277269.5542,BTCUSDT,Sell,0.01,9155.0,ZeroMinusTick,de00d8cf-4761-5a20-ad84-05e455577aca,9155000000.0,0.01,91.55
1590277269.5542,BTCUSDT,Sell,0.156,9155.0,MinusTick,fa126002-16a7-527c-979a-85431306a56e,142818000000.0,0.156,1428.18
1590277269.4547,BTCUSDT,Sell,0.02,9155.5,MinusTick,b5bf75e3-ccaf-5f0f-a699-68a58ac77e9c,18311000000.0,0.02,183.11
1590277269.3421,BTCUSDT,Sell,0.033,9157.0,ZeroMinusTick,6327c73d-0e9c-54f3-b339-ba7f110b0a30,30218100000.0,0.033,302.181
1590277269.3421,BTCUSDT,Sell,0.01,9157.0,ZeroMinusTick,47c1b50c-351c-55a8-83e9-2cdc6fddc3fc,9157000000.0,0.01,91.57
1590277269.3421,BTCUSDT,Sell,0.013,9157.0,ZeroMinusTick,09e95185-98e5-5bdc-84bd-ea83d358c634,11904100000.0,0.013,119.041
1590277269.3421,BTCUSDT,Sell,0.009,9157.0,ZeroMinusTick,c45c6692-e4fc-5d59-8c6f-5540498308b6,8241300000.0,0.009,82.413
1590277269.3421,BTCUSDT,Sell,0.005,9157.0,ZeroMinusTick,cf3803d4-5180-59b0-b95e-c0c076f5e959,4578500000.0,0.005,45.785
1590277269.3421,BTCUSDT,Sell,0.001,9157.0,ZeroMinusTick,06656d5a-f723-5e09-b5cc-2ffb5c3b8af1,915700000.0,0.001,9.157
1590277269.3421,BTCUSDT,Sell,0.045,9157.0,MinusTick,0a31c280-07db-5687-a503-59f97dac3021,41206500000.0,0.045,412.065
1590277264.5718,BTCUSDT,Buy,0.919,9157.5,MinusTick,11d9d285-7d3e-58bb-8b4a-14aa1753ef22,841574250000.0,0.919,8415.7425
1590277260.5866,BTCUSDT,Sell,0.01,9158.0,MinusTick,6b548ee2-278e-51d2-9e0b-6f2ffd4a2f14,9158000000.0,0.01,91.58
1590277260.4545,BTCUSDT,Sell,0.289,9159.5,ZeroMinusTick,7b369601-af4a-5eae-bfc6-473632bbb7e8,264709550000.0,0.289,2647.0955
1590277260.171,BTCUSDT,Sell,0.02,9159.5,MinusTick,92316b78-423d-5d0f-b3d5-85fcbd9d6d06,18319000000.0,0.02,183.19
1590277260.165,BTCUSDT,Buy,0.023,9160.0,PlusTick,3bc50fbf-a385-508f-a161-53311c59ff22,21068000000.0,0.023,210.68
1590277260.1646,BTCUSDT,Sell,1.161,9159.5,ZeroMinusTick,e9936141-4ca4-5b80-88ed-5bd8c45e22c3,1063417950000.0,1.161,10634.1795
1590277260.1646,BTCUSDT,Sell,1.44,9159.5,ZeroMinusTick,c4e8f048-2025-5222-bf79-06d85c1d4d17,1318968000000.0,1.44,13189.68
1590277260.1646,BTCUSDT,Sell,0.01,9159.5,MinusTick,303232f9-cbce-55af-bb8a-fbf90daf4f63,9159500000.0,0.01,91.595
1590277260.1598,BTCUSDT,Sell,0.005,9160.0,MinusTick,d95f7b2f-f8ed-5570-9a7f-f8da508deea6,4580000000.0,0.005,45.8
1590277260.0686,BTCUSDT,Sell,1.53,9160.5,MinusTick,251745df-ee64-50aa-b93d-590d36d214e8,1401556500000.0,1.53,14015.565
1590277230.5534,BTCUSDT,Buy,0.01,9161.5,MinusTick,284cbd8c-5ac0-5d41-89df-206a15e64d07,9161500000.0,0.01,91.615
1590277221.4989,BTCUSDT,Buy,0.167,9162.5,ZeroMinusTick,5ef226df-9dbb-561f-bea5-ef89377b219b,153013750000.0,0.167,1530.1375
1590277221.4989,BTCUSDT,Buy,1.388,9162.5,PlusTick,04d6c554-99ec-5d06-9c1c-164536999d56,1271755000000.0,1.388,12717.55
1590277221.4989,BTCUSDT,Sell,3.875,9161.5,ZeroMinusTick,92b070e8-e57f-56d1-8349-7306777b14bc,3550081250000.0,3.875,35500.8125
1590277221.4989,BTCUSDT,Sell,0.366,9161.5,MinusTick,aca993af-6969-57bb-9d6c-dd9b9fa053f5,335310900000.0,0.366,3353.109
1590277221.4989,BTCUSDT,Sell,0.001,9162.0,PlusTick,8e8ffa00-2013-5371-bbeb-bf7194991128,916200000.0000001,0.001,9.162
